203.027100,
207.424866,
206.854309,
206.536072,
193.782471,
206.470398,
206.699524,
207.553650,
207.536804,
196.973877,
205.200623,
207.196899,
207.122253,
206.713318,
197.348938,
203.892273,
205.037659,
205.978455,
206.809875,
197.784912,
