207.453186,
208.131226,
208.139954,
208.112793,
198.222412,
207.168152,
208.315125,
207.703796,
208.346130,
198.978638,
205.184631,
208.420349,
208.419189,
208.029663,
197.445679,
204.558594,
206.234192,
207.989075,
207.671692,
200.325134,
