141.186584,
144.629272,
141.908508,
140.322144,
140.011169,
140.911438,
143.867676,
141.627197,
141.234192,
140.425537,
141.094727,
145.904602,
144.711792,
141.560181,
140.912964,
141.701965,
142.197937,
141.946411,
142.062012,
141.155640,
