127.777832,
126.434387,
126.256470,
126.056763,
122.623230,
127.788879,
126.536743,
126.260986,
125.639160,
122.252808,
127.862305,
126.652039,
126.698364,
125.797546,
120.870728,
128.847900,
127.644897,
126.732849,
126.141785,
123.254639,
