klsm128, 24, 81823454
klsm128, 24, 83382821
klsm128, 24, 81888851
klsm128, 24, 81061955
klsm128, 24, 82116940
klsm128, 24, 82691550
klsm128, 24, 80396504
klsm128, 24, 83409239
klsm128, 24, 83058389
klsm128, 24, 82057979
klsm256, 24, 93796677
klsm256, 24, 93617674
klsm256, 24, 94082554
klsm256, 24, 95500182
klsm256, 24, 93803816
klsm256, 24, 93696840
klsm256, 24, 94108896
klsm256, 24, 92678078
klsm256, 24, 92254703
klsm256, 24, 92241887
klsm128, 24, 82518253
klsm128, 24, 83318527
klsm128, 24, 81737188
klsm128, 24, 82235990
klsm128, 24, 81259977
klsm128, 24, 80526049
klsm128, 24, 82919622
klsm128, 24, 82470023
klsm128, 24, 80445304
klsm128, 24, 82231347
klsm256, 24, 93230178
klsm256, 24, 94222539
klsm256, 24, 94202954
klsm256, 24, 94261486
klsm256, 24, 94642451
klsm256, 24, 94436527
klsm256, 24, 93501297
klsm256, 24, 94310967
klsm256, 24, 92988761
klsm256, 24, 91667140
klsm128, 24, 82530455
klsm128, 24, 81885391
klsm128, 24, 82120249
klsm128, 24, 81110584
klsm128, 24, 81893809
klsm256, 24, 93782348
klsm256, 24, 94677124
klsm256, 24, 96228286
klsm256, 24, 93654198
klsm256, 24, 94205385
