78.907532,
80.936707,
79.736816,
78.638794,
78.081299,
78.269531,
82.168396,
81.794678,
81.566345,
80.045654,
77.872620,
81.151489,
79.736206,
78.220703,
77.192139,
77.236938,
82.045288,
80.184143,
79.125671,
79.099854,
