128.505676,
126.523499,
126.219360,
125.767822,
123.450439,
129.012207,
126.892151,
125.850281,
125.843811,
122.020142,
131.676514,
127.314697,
126.144531,
126.052368,
117.134827,
130.614319,
128.293884,
126.695618,
126.111877,
126.103210,
