78.478394,
76.549500,
76.164551,
76.096802,
78.189575,
76.433594,
76.095703,
76.088623,
76.026367,
79.477600,
76.121216,
76.161926,
76.085754,
76.093567,
76.406738,
76.218262,
76.157166,
76.101379,
76.103149,
77.704895,
