101.109985,
100.835266,
100.808228,
100.552551,
101.676086,
101.388000,
100.699036,
100.326477,
100.100525,
101.407166,
101.042847,
101.353943,
100.482788,
100.404236,
100.955139,
101.361633,
102.006653,
100.706177,
100.234131,
100.465515,
