115.394470,
113.740173,
113.605164,
113.098999,
117.266296,
116.117798,
114.237061,
113.569824,
113.316956,
116.226685,
116.930237,
114.881409,
113.816895,
113.469360,
115.630615,
117.819458,
114.889648,
114.139099,
113.644470,
114.254578,
