137.709717,
136.548706,
137.481812,
136.652954,
136.415833,
135.730530,
135.506653,
135.264221,
135.336365,
135.608398,
135.440552,
135.452637,
135.331787,
135.478455,
135.466492,
135.412842,
135.364075,
135.265747,
135.222229,
135.418213,
