119.718689,
119.715149,
119.098389,
119.003662,
119.637878,
119.445129,
119.120667,
119.121948,
119.971558,
119.721741,
119.312378,
118.821167,
118.775696,
118.660095,
119.698120,
119.332703,
118.985718,
118.971741,
119.346252,
119.787842,
